Сильный холод.|стужа
Тяжелый массивный сосуд, в котором толкут пестом.|ступа
Монументальное культовое сооружение в индийской архитектуре.|ступа
Промысловая рыба семейства окуневых.|судак
Приспособление для переноски кушаний в виде нескольких мисок, кастрюлек, поставленных одна на другую и скрепленных вместе.|судки
Сосуд для испражнений, мочи.|судно
Сооружение, приспособленное для плавания и перевозки людей и грузов по воде.|судно
Столовая посуда для соусов, подливок; соусник.|судок
Должностное лицо в органах суда, выносящее приговор по судебному делу.|судья
Все то, что тщетно, ничтожно, не представляет ценности.|суета
Беспорядочные, торопливые хлопоты.|суета
Плотная ткань из шерстяной или полушерстяной пряжи с войлокообразным застилом, скрывающим переплетение нитей.|сукно
Изделие, предназначенное для вмещения и ношения изготовленное из кожи, ткани и т.п.|сумка
Образование из соединительной ткани, окружающее или заключающее в себе суставы, органы и т.п.|сумка
Полость в виде подбрюшного мешка у некоторых животных, в которой донашиваются и развиваются детеныши.|сумка
Клетка у некоторых грибов, в которой развиваются споры.|сумка
Число, получаемое в результате сложения двух или нескольких величин.|сумма
Общее количество.|сумма
Определенное количество денег.|сумма
Мусульманское священное предание, содержащее рассказы о жизни Мухаммеда, а также его высказывания и являющееся дополнением к Корану.|сунна
Неизменяемая глагольная форма, употребляемая для обозначения цели при глаголах движения в некоторых индоевропейских языках.|супин
Смешанный посев на одном поле озимой пшеницы и ржи.|суржа
Пшеница и рожь, смешанные во время посева.|суржа
Минерал, представляющий собою окись свинца с примесью железа, алюминия и других элементов.|сурик
Природная минеральная краска красно-оранжевого или красно-коричневого цвета.|сурик
Старинный русский духовой музыкальный инструмент.|сурна
Небольшое животное отряда грызунов семейства беличьих, живущее в глубоких норах, зимой впадающее в спячку.|сурок
Травянистое болотное и водяное растение с зонтиковидным соцветием на высоком стебле.|сусак
Неперебродивший отвар крахмалистых и сахаристых веществ, идущий на изготовление кваса, пива.|сусло
Сладковатый напиток, настоянный на солоде и муке в старом крестьянском быту.|сусло
Сок винограда, получаемый после его отжима, прессования.|сусло
Шелковый плетеный шнур для отделки женского платья, детской одежды и т.п.|сутаж
Единица измерения времени, равная 24 часам; промежуток времени от одной полуночи до другой.|сутки
Кусочки древесины в бумажной массе.|сучки
Хлебобулочные изделия из заварного теста в виде маленьких тонких баранок.|сушки
Замкнутая поверхность, все точки которой равно удалены от центра.|сфера
Общественное окружение, среда.|сфера
Пределы распространения.|сфера
Круг лиц, объединенных общностью интересов, занятий или положения.|сферы
Чертеж, изображающий систему, устройство или взаимоотношение частей.|схема
Изложение, описание в общих чертах, без подробностей.|схема
Высшая монашеская степень в православной церкви, требующая от посвященного в нее выполнения суровых аскетических правил.|схима
Место, где происходит театральное представления.|сцена
Отдельная часть действия, акта театральной пьесы.|сцена
Отдельный эпизод, изображаемый в пьесе, романе, картине.|сцена
Приспособление для простейших подсчетов в виде прямоугольной рамы с поперечными стержнями, на которые - по десять на каждом - нанизаны подвижные костяшки, последовательно обозначающие единицы, десятки, сотни и т.п.|счеты
Не до конца выделанный продукт; полуфабрикат.|сырец
Рыба семейства лососевых, обитающая в реках и озерах севера Сибири; пелядь.|сырок
Промысловая рыба семейства карповых, обитающая в Балтийском море; рыбец.|сырть
Материал, предназначенный для дальнейшей промышленной обработки и изготовления готового продукта.|сырье
Один из отделов желудка жвачных животных.|сычуг
Кушанье, приготовленное из коровьего, свиного и т.п. фаршированного желудка.|сычуг
Тайный агент, занимающийся слежкой.|сыщик
Ряд последовательно развивающихся событий, составляющих содержание литературного произведения, кинофильма и т.п.|сюжет
Предмет изображения (в изобразительном искусстве).|сюжет
Тема музыкального произведения.|сюжет
Музыкальное произведение, состоящее из следующих друг за другом самостоятельных частей, объединенных общим художественным замыслом или программой.|сюита
Композиция из нескольких танцев, объединенных общей темой (в балете).|сюита
Травянистое растение семейства пасленовых, в листьях которого содержится никотин.|табак
Травянистое декоративное растение семейства пасленовых с душистыми белыми, розовыми или светло-фиолетовыми цветками.|табак
Группа кочующих вместе цыганских семейств.|табор
Военный войсковой лагерь с обозом (в Российском государстве XV-XVII вв.).|табор
Стадо лошадей, оленей, верблюдов и некоторых других копытных животных.|табун
Отравляющее вещество нервно-паралитического действия.|табун
Вещество, состоящее из минерального масла и загустителя, употребляемое для смазывания трущихся частей машин, механизмов.|тавот
Клеймо, выжигаемое на коже, рогах или копытах сельскохозяйственных животных как отличительный знак данного животного.|тавро
Племя, жившее в глубокой древности в горной и прибрежной части Крыма.|тавры
Обруч - обычно металлический - на трех ножках, служащий при приготовлении пищи на огне подставкой для котла, чугуна и т.п.|таган
Треножник, козлы, к которым подвешивается котел.|таган
Полоса диких, труднопроходимых хвойных лесов умеренного пояса, преимущественно состоящих из ели, пихты, лиственницы (иногда с примесью немногочисленных лиственных пород), занимающая громадное пространство на севере Европы, Азии и Северной Америки.|тайга
Точно установленная расценка товаров или размер оплаты за определенный вид труда, услуг.|такса
Порода небольших гладкошерстных охотничьих или комнатных собак с короткими кривыми ногами и длинным туловищем.|такса
Ровное глинистое пространство в пустынях и полупустынях Средней Азии.|такыр
Старинная серебряная монета, имевшая хождение в Чехии, позднее - в Германии, Скандинавских странах, Голландии, Италии и т.п. (изъятая из обращения в 1907 г.).|талер
Металлическая плита на печатном станке, на которой устанавливается печатная форма.|талер
Одеяние, накидываемое на плечи евреями во время утренней молитвы.|талес
Участок оттаявшей почвы в зоне вечной мерзлоты.|талик
Одна из девяти муз покровительница комедии (в древнегреческой мифологии).|талия
Самая узкая часть туловища между грудью и бедрами, на которую приходится пояс.|талия
Разновидность контрольного документа, удостоверяющего право на получение разрешающего доступ.|талон
Часть документа, отделяемая от него или, наоборот, остающаяся после его отделения.|талон
Слоистый мягкий минерал белого цвета, обычно употребляемый в виде порошка в технике и медицине.|тальк
Клеймо, метка как знак собственности (первоначально - в родовом обществе у монголов).|тамга
Таможенная пошлина, взимавшаяся при наложении специального клейма на товар (на Руси ХIII-ХV вв.).|тамга
Вид искусства, художественный образ в котором создается средствами пластических и ритмических движений человеческого тела.|танец
Ряд телодвижений, исполняемых в определенном темпе и ритме в такт музыке.|танец
Дубильное вещество, содержащееся во многих растениях и обладающее сильным вяжущим свойством; употребляется в медицине, кожевенном и текстильном производстве.|танин
Музыкант, за плату играющий на танцевальных вечерах.|тапер
Пианист, в эпоху немого кино игрой сопровождавший демонстрацию фильма.|тапер
Крупное непарнокопытное тропических лесов Америки и Юго-Восточной Азии с небольшим хоботом.|тапир
Древнее стенобитное орудие в виде бревна с металлическим наконечником, укрепленного на передвижной башне.|таран
Остроконечный выступ в носовой подводной части боевого судна, предназначенный для нанесения удара по корпусу неприятельского корабля.|таран
Удар винтом или корпусом самолета, танка, корабля и т.п. как боевой прием, применяемый при отсутствии боеприпасов.|таран
Прорыв фронта и глубокое вклинивание в расположение противника.|таран
Установленный размер стоимости оплаты за нормы налогообложения, сборов.|тариф
Плотная шелковая или хлопчатобумажная глянцевитая ткань с поперечными мелкими рубчиками.|тафта
Маленькая круглая шапочка, которую носили в старину (обычно под шапкой).|тафья
Широкий и невысокий диван без спинки.|тахта
Разновидность нарцисса.|тацет
Ручная тележка (обычно на одном колесе и с двумя длинными ручками).|тачка
Американский парный танец импровизационного характера, получивший широкое распространение в начале 60-х гг. ХХ в.|твист
Один из видов искусства, в котором образное отражение жизни достигается средствами сценического представления.|театр
Помещение, здание со сценой и зрительным залом, в котором устраиваются представления.|театр
Место, где происходят военные действия, развертываются значительные события.|театр
Положение, требующее доказательства (в логике).|тезис
Исходная ступень диалектического развития (в логике Гегеля).|тезис
Религиозно-философское учение, считающее Бога абсолютной бесконечной личностью, стоящей над миром и человеком и рассматривающее мир как осуществление промысла Божия.|теизм
Напечатанная или написанная связная речь, которую можно воспроизвести (содержание словесного произведения, словесная часть иллюстрированных изданий, слова к музыкальному произведению и т.п.).|текст
Основная часть печатного набора без иллюстраций.|текст
Последовательность языковых и иных знаков, образующая единое целое и служащее объектом изучения (в лингвистике, семиотике, информатике и т.п.).|текст
Одно из двенадцати зодиакальных созвездий, расположенное в Северном полушарии.|телец
Характерная окраска звука (голоса или инструмента).|тембр
Самый высокий по звучанию мужской голос.|тенор
Певец с высоким голосом.|тенор
Человек, имеющий высокий голос.|тенор
Духовой - обычно среднего регистра - музыкальный инструмент, входящий в состав духовых оркестров.|тенор
Высокий - боярский или княжеский - дом в виде башни.|терем
Общественные бани в Древнем Риме, которые одновременно являлись и местом для занятий гимнастикой, бесед, собраний и т.п.|термы
Подземные воды и источники с температурой выше средней годовой для данной местности (в геологии).|термы
Плотничий топор с широким лезвием, употребляемый для тесания.|тесак
Рубящее и колющее холодное оружие с широким обоюдоострым клинком на крестообразной рукоятке.|тесак
Разновидность топора с лезвием, расположенным перпендикулярно к топорищу.|тесло
Вязкая масса различной густоты, получаемая из муки, смешанной с жидкостью (водой, молоком и т.п.).|тесто
Любая густая масса, получаемая при смешивании твердого сыпучего вещества с жидкостью.|тесто
Отец жены.|тесть
Период половой активности у самки млекопитающих.|течка
Молодая, еще ни разу не телившаяся корова.|телка
Предмет кухонного обихода с пробитыми мелкими отверстиями, об острые края которых трут.|терка
Сельскохозяйственная машина для извлечения семян из головок клевера, льна и т.п.|терка
Лопаточка с ручкой, употребляемая в штукатурном деле для разглаживания штукатурки.|терка
Сестра отца или матери по отношению к племянникам.|тетка
Жена дяди по отношению к его племянникам.|тетка
Брюшная часть туши рыбы (осетра, белорыбицы и некоторых других), идущая в пищу.|тешка
Головной убор древних восточных царей, жрецов, являвшийся символом высшей власти.|тиара
Головной убор древних персов в виде усеченного конуса.|тиара
Трехъярусный головной убор римского папы.|тиара
Кристаллическое вещество, получаемое из некоторых эфирных масел и применяющееся для приготовления зубных эликсиров, а также как дезинфицирующее средство.|тимол
Совокупность черт, характерных для типа.|типаж
Хрящеватый болезненный нарост на конце языка у птиц.|типун
Розыгрыш выигрышей в займе или лотерее.|тираж
Погашение облигаций государственных займов или других обязательств, выкупаемых учреждением, которое их выпустило.|тираж
Количество экземпляров печатного издания одного выпуска.|тираж
Единоличный правитель, захвативший власть насильственным путем (в Древней Греции и Древнем Риме, а также в городах-республиках Италии XIII-XVI вв.).|тиран
Жестокий правитель, действия которого основаны на произволе и насилии; деспот.|тиран
Приспособление для зажима и удержания предмета при обработке, состоящее из двух пластин, сближаемых при посредстве винта.|тиски
Человек, отличающийся исключительной силой ума, таланта.|титан
Химический элемент, серебристо-белый легкий и твердый металл, используемый в самолетостроении, судостроении и т.п.|титан
Большой кипятильник для воды.|титан
Надстрочный знак над сокращенно написанным словом или над буквой, употребленной в значении цифры (в древней и средневековой греческой, латинской и славянской письменности).|титло
Почетное - наследованное или пожалованное - звание.|титул
Словесная формула именования лица в соответствии с его официальным почетным званием, высоким служебным или общественным положением.|титул
Наименование, звание, даваемое в знак признания заслуг, высоких успехов в деятельности.|титул
Стоглавое огнедышащее чудовище (в древнегреческой мифологии).|тифон
Устройство на маяках и судах для подачи звуковых сигналов во время тумана.|тифон
Совокупность клеток и неклеточного вещества, составляющая животный или растительный организм.|ткань
Продукт труда, предназначенный для обмена и продажи.|товар
Элемент парного катания на коньках, когда партнерша почти в горизонтальном положении по отношению ко льду описывает круг вокруг партнера, держащего ее за руку.|тодес
Титул князя, наименование старосты, представителя власти из своей национальной среды (у якутов и других северных народностей Российского государства до 1917 г.).|тойон
Млекопитающее семейства зайцев песчано-серого цвета с очень длинными ушами.|толай
Молва, слухи, пересуды.|толки
Нестройное, неорганизованное скопление людей; сборище.|толпа
Масса, слой вещества, имеющий большую толщину.|толща
Тонизирующее средство в виде напитка или специально приготовленного лекарства.|тоник
Тонизирующее косметическое средство.|тоник
Единица массы, в метрической системе мер равная 1000 кг.|тонна
Состояние длительного возбуждения нервной или мышечной ткани, не сопровождающееся утомлением и обусловливающее хорошее функционирование организма.|тонус
Жизненная активность, жизнедеятельность.|тонус
Минерал класса силикатов, отдельные кристаллы которого - благодаря своему красивому цвету и блеску - употребляются как драгоценные камни.|топаз
Орудие для рубки и тесания в виде насаженной на деревянную рукоять железной лопасти с острым лезвием на одной стороне и утолщенной частью, обухом, на другой.|топор
Стук, шум от ударов ног о твердую поверхность при ходьбе, беге и т.п.|топот
Деревянный брусок, бревно со стороны своего поперечного разреза.|торец
Поперечная - короткая - сторона, грань.|торец
Короткий, обычно шестигранный брусок поперечно разрезанного бревна для мощения улиц.|торец
Химический радиоактивный элемент, серовато-белый, блестящий, относительно мягкий металл.|торий
Радиоактивный минерал, силикат тория.|торит
Тюркоязычные племена, кочевавшие в южно-русских степях в X-XIII вв.|торки
Ледяная глыба в северных морях и реках, образующаяся в результате сжатия.|торос
Душевная тревога в соединении с грустью, унынием.|тоска
Животное, растение, предмет или явление природы, которые у родовых групп служили объектом религиозного почитания.|тотем
Метка, след от нажима пишущего или укола колющего инструмента.|точка
Знак препинания, разделяющий предложения.|точка
Графический знак как условное обозначение (в телеграфном коде, на картах и планах, в математике, нотном письме и т.п.).|точка
Место, не имеющее измерения, граница отрезка линии (в геометрии).|точка
Место в пространстве, на местности, внутри или на поверхности тела.|точка
Момент в развитии, течении.|точка
Температурный предел, при котором наступает физическое явление (в физике).|точка
Определенный уровень, фаза измеряемого, исчисляемого.|точка
Растение с однолетними зелеными - не подвергающимися одеревенению - мягкими побегами.|трава
Разные виды трав.|травы
Совокупность средств для передачи, перемещения.|тракт
Внезапно наступающее повышенное нервное возбуждение с потерей самоконтроля и с кратковременным расстройством сознания, выражающееся в бессознательном совершении различных поступков.|транс
Состояние экстаза, ясновидения, отрешенности и т.п.|транс
Доля платежной суммы, часть платежа.|транш
Горная порода вулканического происхождения.|трапп
Горная порода вулканического происхождения, из группы туфов, добавляемая к цементу для придания ему плотности и пластичности.|трасс
Богослужебный обряд, совершаемый священником по желанию, просьбе одного из верующих (крестины, венчание, отпевание и т.п.).|треба
Обряд принесения жертвы; жертвоприношение.|треба
Переливчатый, дрожащий звук (возникающий в результате быстрого повторного чередования двух соседних звуков).|трель
Специальная дорога для трелевки древесины.|трель
Место, где складывается трелеванная древесина.|трель
Резкий звук, издаваемый ломающимся, лопающимся, разрываемым и т.п.|треск
Одна из основных форм монополий, представляющая собою объединение предпринимателей, при котором входящие в него предприятия подчиняются единому управлению и полностью теряют свою производственную, коммерческую и юридическую самостоятельность.|трест
Объединение нескольких предприятий одной отрасли с централизованным управлением (в СССР).|трест
Одна из трех равных частей, на которые делится.|треть
Теплая шапка с опускающимися наушниками и задком; ушанка.|треух
Название черной масти с изображением креста в виде трилистника в игральных картах.|трефы
Первый из трех периодов мезозойской эры геологической истории Земли.|триас
Каждая из трех групп родов, составлявших римскую патрицианскую общину.|триба
Каждый из трех административно-территориальных округов Древнего Рима.|триба
Зерноочистительная машина, отделяющая от зерна примеси и сортирующая зерно по толщине и длине.|триер
Электронная лампа с тремя электродами.|триод
Сгусток крови, образующийся в кровеносных сосудах.|тромб
Мощный смерч с сильным ветром, осадками и грозовыми явлениями.|тромб
